"USERID"|"GENDER"|"DOB"|"COUNTRY"|"EDUCATION"|"HOBBY"
28900|"M"|1994-12-19|"United Arab Emirates"|"Less than high school"|"Sculpting"
38190|"M"|1979-02-23|"Reunion"|"Master"|"Origami"
17970|"F"|1980-05-10|"Macedonia"|"Less than high school"|"Pottery"
39360|"M"|1966-07-29|"Thailand"|"Master"|"Meteorology"
12420|"F"|1980-12-17|"Chile"|"Bachelor"|"Puzzles"
25850|"F"|1967-04-27|"Macedonia"|" "|"Meteorology"
32650|"N"|2001-09-29|"Martinique"|"Less than high school"|"Saxophone"
31650|"F"|2001-08-17|"Macedonia"|"Master"|"Meteorology"
38290|"F"|1969-08-23|"Jordan"|"High school"|"Painting"
29980|"F"|1995-12-12|"Macedonia"|"Bachelor"|"Horseback riding"
46790|"F"|1983-09-18|"Germany"|"Bachelor"|"Flying"
40640|"F"|1974-01-28|"United Arab Emirates"|"High school"|"Flying"
45220|"F"|1974-12-01|"Greenland"|"Bachelor"|"Gaming"
14110|"F"|1968-04-11|"Liberia"|"Bachelor"|"Running"
47210|"M"|1967-04-08|"Guernsey"|" "|"Pottery"
41240|"N"|1969-02-14|"Liberia"|"Bachelor"|"Running"
19580|"N"|1983-01-13|"Thailand"|" "|"Running"
36790|"M"|1988-04-10|"Faroe Islands"|"High school"|"Painting"
18450|"F"|1982-10-11|"Uruguay"|" "|"Pottery"
25680|"F"|1993-11-12|"Romania"|"High school"|"Laser tag"
43630|"M"|1976-03-24|"Chile"|"Master"|"Gaming"
37500|"M"|1965-02-10|"South Korea"|"Master"|"Ultra running"
14480|"F"|1979-08-15|"Martinique"|"Bachelor"|"Macrame"
24920|"N"|1989-08-22|"South Korea"|"High school"|"Running"
38530|"F"|1997-09-30|"Martinique"|"Bachelor"|"Laser tag"
29590|"M"|1984-08-21|"Antarctica"|"Bachelor"|"Other"
30350|"M"|1998-12-30|"China"|"Bachelor"|"Hamsters"
34600|"F"|1987-02-25|"Jordan"|"Bachelor"|"Sculpting"
45240|"M"|1992-06-21|"Macedonia"|"High school"|"Kayaking"
40290|"F"|1996-10-30|"South Africa"|" "|"Geocaching"
35480|"M"|1993-01-22|"Senegal"|"High school"|"Flying"
45580|"F"|2000-07-20|"Ethiopia"|"High school"|"Macrame"
26970|"N"|1998-01-06|"Ethiopia"|"Master"|"Geocaching"
21800|"F"|1991-06-08|"Mozambique"|" "|"Painting"
34760|"M"|1971-12-20|"Algeria"|"Bachelor"|"Embroidery"
33690|"M"|1982-05-20|"Uganda"|" "|"Painting"
26120|"N"|1983-02-12|"Andorra"|"Less than high school"|"Puzzles"
10060|"M"|1991-10-14|"Guinea"|"Bachelor"|"Running"
43920|"F"|1989-02-23|"Greenland"|"High school"|"Ultra running"
45370|"F"|1999-09-29|"United Kingdom"|" "|"Cheerleading"
33440|"F"|1976-04-20|"Puerto Rico"|"Less than high school"|"Running"
16370|"F"|1990-04-15|"Ethiopia"|"High school"|"Kayaking"
10880|"F"|1985-01-22|"Thailand"|"Master"|"Meteorology"
34490|"F"|1981-02-07|"Rwanda"|"Less than high school"|"Gaming"
12650|"M"|1972-05-01|"Gibraltar"|"High school"|"Climbing"
48630|"F"|1996-11-15|"Morocco"|"High school"|"Hunting"
10180|"F"|1979-08-23|"Senegal"|"Less than high school"|"Macrame"
23450|"F"|1986-06-07|"Thailand"|" "|"Running"
38810|"M"|1983-09-30|"Martinique"|"Less than high school"|"Other"
47200|"F"|1972-03-28|"Antarctica"|"Bachelor"|"Origami"
27660|"F"|1982-05-27|"United Arab Emirates"|"Less than high school"|"Ultra running"
23920|"F"|1970-11-06|"Romania"|"Master"|"Cheerleading"
17690|"M"|1996-06-19|"Japan"|"High school"|"Hunting"
42490|"N"|1971-03-11|"Bahamas"|"High school"|"Other"
18080|"M"|1987-01-29|"Senegal"|"Bachelor"|"Geocaching"
37810|"M"|1985-12-19|"Algeria"|"Bachelor"|"Embroidery"
43900|"F"|1968-12-31|"Ethiopia"|"Bachelor"|"Embroidery"
36890|"F"|1996-03-11|"Jordan"|"Less than high school"|"Origami"
33490|"F"|1968-02-05|"Morocco"|" "|"Sculpting"
23300|"N"|1982-11-09|"Macedonia"|"Less than high school"|"Geocaching"
39320|"M"|1987-03-09|"United Kingdom"|"Bachelor"|"Laser tag"
21160|"F"|1998-11-19|"Japan"|"Master"|"Laser tag"
45390|"F"|1996-08-18|"Senegal"|"Master"|"Meteorology"
29910|"F"|1970-01-07|"Greenland"|"Master"|"Puzzles"
27920|"M"|1990-02-07|"Rwanda"|"High school"|"Flying"
21780|"M"|1987-04-17|"Ethiopia"|"High school"|"Meteorology"
29110|"F"|1972-07-30|"Guinea"|"Bachelor"|"Climbing"
32670|"M"|1993-06-15|"Guernsey"|"Less than high school"|"Saxophone"
37460|"M"|1989-02-17|"Rwanda"|"High school"|"Pottery"
16080|"N"|1978-08-09|"Japan"|"Bachelor"|"Flying"
30520|"M"|1976-09-30|"Macedonia"|"Less than high school"|"Saxophone"
17880|"F"|1986-03-06|"Croatia"|" "|"Ultra running"
24930|"N"|1981-02-02|"Reunion"|"High school"|"Origami"
49790|"M"|1991-12-05|"Italy"|"High school"|"Other"
40360|"F"|1976-01-17|"Puerto Rico"|" "|"Sculpting"
12550|"M"|1980-01-15|"Guinea"|"Bachelor"|"Flying"
41550|"M"|1997-11-15|"United Arab Emirates"|"Master"|"Flying"
37940|"F"|1993-03-04|"Senegal"|"High school"|"Ultra running"
22830|"F"|2000-04-20|"Romania"|"Less than high school"|"Puzzles"
23840|"M"|1968-12-05|"Germany"|"Less than high school"|"Horseback riding"
41980|"M"|1996-05-22|"Sweden"|"Master"|"Pottery"
19060|"F"|1994-11-18|"Moldova"|"Less than high school"|"Paintball"
40810|"M"|2001-02-16|"Morocco"|"Less than high school"|"Flying"
10330|"F"|1999-06-29|"Cyprus"|"Bachelor"|"Embroidery"
35050|"F"|1981-01-26|"Bahamas"|"High school"|"Sculpting"
36770|"M"|1975-07-05|"United Arab Emirates"|"High school"|"Paintball"
22130|"F"|1999-11-01|"Belgium"|"High school"|"Hamsters"
36940|"F"|2001-10-26|"Uruguay"|" "|"Origami"
43510|"F"|1991-11-11|"Greenland"|"High school"|"Painting"
36740|"F"|1986-02-12|"Liberia"|"Master"|"Hunting"
44340|"M"|1984-11-10|"Belgium"|"High school"|"Origami"
12440|"N"|1968-03-22|"Martinique"|"Less than high school"|"Laser tag"
26940|"M"|1991-07-31|"Madagascar"|"High school"|"Puzzles"
28620|"F"|1983-06-18|"Venezuela"|" "|"Climbing"
25630|"N"|1979-07-14|"Liberia"|"High school"|"Kayaking"
27770|"F"|1976-09-01|"Rwanda"|"High school"|"Pottery"
37570|"N"|1989-12-19|"Rwanda"|"Master"|"Kayaking"
27010|"F"|1969-09-05|"Faroe Islands"|"Bachelor"|"Painting"
26750|"M"|1980-06-24|"Martinique"|" "|"Embroidery"
48040|"M"|1983-09-06|"Romania"|"High school"|"Ultra running"
23520|"M"|1983-07-31|"Morocco"|"High school"|" "
18490|"F"|1982-02-10|"Ethiopia"|"Bachelor"|" "
27620|"F"|2001-09-12|"Cyprus"|"Bachelor"|"Saxophone"
42700|"M"|1992-09-27|"Romania"|"High school"|"Meteorology"
40980|"N"|1998-01-26|"Bahamas"|"Bachelor"|"Cheerleading"
31880|"M"|1979-12-20|"Uruguay"|"Bachelor"|"Beekeeping"
17080|"M"|1984-11-04|"Thailand"|"Less than high school"|"Gaming"
32020|"F"|1989-08-06|"Antarctica"|" "|"Gaming"
34400|"F"|1993-03-01|"Guinea"|"Master"|"Pottery"
34590|"M"|1982-12-07|"Andorra"|"High school"|"Macrame"
17620|"M"|1976-08-22|"Thailand"|"Less than high school"|"Meteorology"
10090|"M"|1970-06-27|"Greenland"|"Bachelor"|" "
11400|"M"|1993-08-03|"Malta"|"High school"|"Gaming"
18540|"F"|1998-11-05|"Ethiopia"|"High school"|"Cheerleading"
26610|"F"|1981-05-23|"Mexico"|"High school"|"Horseback riding"
28890|"N"|1997-12-15|"Chile"|"Bachelor"|"Origami"
39300|"M"|1973-02-15|"Chile"|" "|"Origami"
42570|"F"|1967-05-08|"Algeria"|"High school"|"Laser tag"
44020|"N"|1975-02-24|"Martinique"|"Bachelor"|"Running"
49310|"M"|1980-10-30|"Macedonia"|"Bachelor"|"Horseback riding"
48690|"F"|1978-04-25|"Sweden"|"High school"|"Cheerleading"
41590|"M"|2000-09-14|"Croatia"|"Bachelor"|"Origami"
33760|"F"|1995-06-15|"France"|" "|"Embroidery"
21970|"F"|1966-04-16|"Moldova"|"Less than high school"|"Macrame"
37100|"F"|1994-01-20|"Jordan"|"High school"|"Hunting"
14500|"M"|1984-12-30|"Guernsey"|"Less than high school"|"Gaming"
20590|"F"|1981-08-15|"Reunion"|" "|"Running"
19190|"F"|1985-07-12|"Guernsey"|" "|"Flying"
38080|"F"|1981-01-11|"United Arab Emirates"|"High school"|"Puzzles"
46000|"M"|1966-10-06|"Faroe Islands"|"Less than high school"|"Beekeeping"
46500|"F"|1970-08-26|"Malta"|"Master"|"Pottery"
11230|"M"|1990-10-01|"Bahamas"|"Master"|"Ultra running"
39790|"F"|1975-10-22|"Ethiopia"|"High school"|"Macrame"
13170|"F"|2000-09-10|"Greenland"|"Less than high school"|"Meteorology"
30670|"M"|1973-10-02|"China"|" "|"Flying"
45990|"N"|1996-01-28|"Rwanda"|"Bachelor"|"Other"
33940|"M"|2000-03-30|"Martinique"|"High school"|"Puzzles"
42170|"F"|1965-01-10|"Greenland"|" "|"Ultra running"
25510|"F"|1989-09-18|"Mozambique"|"Master"|"Embroidery"
31590|"F"|1968-08-22|"Rwanda"|"High school"|"Running"
45260|"F"|1993-08-12|"Uruguay"|"Bachelor"|"Macrame"
26310|"F"|1974-11-30|"Guernsey"|"Bachelor"|"Flying"
35330|"N"|1990-12-18|"Andorra"|"Master"|"Paintball"
49000|"N"|1965-09-26|"Senegal"|"Less than high school"|"Origami"
48470|"M"|1986-08-11|"Romania"|"Less than high school"|"Puzzles"
38480|"M"|1989-10-15|"Croatia"|"Less than high school"|"Hamsters"
28280|"F"|1983-01-24|"Reunion"|"Master"|"Origami"
39420|"M"|1995-12-25|"Senegal"|"Less than high school"|"Origami"
26410|"M"|1967-09-01|"United Kingdom"|"Less than high school"|"Other"
33720|"F"|1983-11-23|"Liberia"|"Bachelor"|"Embroidery"
23890|"M"|1965-08-11|"Belgium"|"High school"|"Ultra running"
31450|"M"|1974-07-28|"Macedonia"|" "|"Painting"
24690|"F"|1969-03-21|"Moldova"|"High school"|"Embroidery"
30050|"M"|1969-10-18|"Belgium"|"Master"|"Hunting"
40940|"F"|1981-05-17|"Greenland"|"High school"|"Beekeeping"
44460|"M"|1973-11-17|"Thailand"|"High school"|"Beekeeping"
30720|"F"|1967-05-11|"Cyprus"|"Master"|"Saxophone"
36140|"M"|1967-06-04|"Gibraltar"|"Bachelor"|"Cheerleading"
23910|"M"|1967-05-10|"Mozambique"|"Master"|"Laser tag"
36220|"F"|1975-05-08|"Hungary"|"Bachelor"|"Pottery"
11600|"M"|2000-03-17|"Mexico"|"Less than high school"|"Puzzles"
49840|"F"|1984-10-26|"France"|"Less than high school"|"Kayaking"
26620|"N"|1999-04-03|"Uruguay"|" "|"Hamsters"
37350|"F"|1989-04-04|"Madagascar"|"High school"|"Other"
49190|"F"|1977-07-06|"Jordan"|" "|"Saxophone"
20100|"F"|1969-08-23|"Hungary"|"Bachelor"|"Laser tag"
24340|"F"|2001-02-04|"Moldova"|"Master"|" "
49980|"M"|1989-03-21|"South Africa"|"Bachelor"|"Saxophone"
32580|"M"|1972-09-19|"Madagascar"|"Bachelor"|"Kayaking"
34380|"M"|1968-06-08|"South Africa"|" "|"Paintball"
